,fswitch,dswitch,demand_fetches_total,demand_fetches_instrn,demand_fetches_data,demand_fetches_read,demand_fetches_write,demand_fetches_misc,fraction_total,fraction_instrn,fraction_data,fraction_read,fraction_write,fraction_misc,prefetch_fetches_total,prefetch_fetches_instrn,prefetch_fetches_data,prefetch_fetches_read,prefetch_fetches_write,prefetch_fetches_misc,fraction_prefetch,demand_misses_total,demand_misses_instrn,demand_misses_data,demand_misses_read,demand_misses_write,demand_misses_misc,demand_miss_rate_total,miss_rate_instrn,miss_rate_data,miss_rate_read,miss_rate_write,miss_rate_misc,prefetch_misses_total,prefetch_misses_instrn,prefetch_misses_data,prefetch_misses_read,prefetch_misses_write,prefetch_misses_misc,pf_miss_rate,total_misses_total,total_misses_instrn,total_misses_data,total_misses_read,total_misses_write,total_misses_misc,total_miss_rate,multi_block_refs,bytes_from_memory,bytes_from_memory_per_demand_fetch,bytes_to_memory,bytes_to_memory_per_demand_write,total_bytes_rw_mem,total_bytes_rw_mem_per_demand_fetch
0,a,1,467428,0,467428,288238,179190,0,1.0,0.0,1.0,0.6166,0.3834,0.0,288238,0,288238,288238,0,0,1.0,85837,0,85837,63892,21945,0,0.1836,0.0,0.1836,0.2217,0.1225,0.0,72113,0,72113,72113,0,0,0.2502,157950,0,157950,136005,21945,0,0.209,0,10108800,21,3053312,17,13162112,21
0,a,2,467428,0,467428,288238,179190,0,1.0,0.0,1.0,0.6166,0.3834,0.0,288238,0,288238,288238,0,0,1.0,95245,0,95245,73191,22054,0,0.2038,0.0,0.2038,0.2539,0.1231,0.0,80569,0,80569,80569,0,0,0.2795,175814,0,175814,153760,22054,0,0.2327,0,11252096,24,3112000,17,14364096,24
0,a,4,467428,0,467428,288238,179190,0,1.0,0.0,1.0,0.6166,0.3834,0.0,288238,0,288238,288238,0,0,1.0,97548,0,97548,74783,22765,0,0.2087,0.0,0.2087,0.2594,0.127,0.0,81672,0,81672,81672,0,0,0.2833,179220,0,179220,156455,22765,0,0.2372,0,11470080,24,3123200,17,14593280,24
0,m,1,467428,0,467428,288238,179190,0,1.0,0.0,1.0,0.6166,0.3834,0.0,62278,0,62278,62278,0,0,1.0,83045,0,83045,62278,20767,0,0.1777,0.0,0.1777,0.2161,0.1159,0.0,50315,0,50315,50315,0,0,0.8079,133360,0,133360,112593,20767,0,0.2518,0,8535040,18,2910464,16,11445504,18
0,m,2,467428,0,467428,288238,179190,0,1.0,0.0,1.0,0.6166,0.3834,0.0,68280,0,68280,68280,0,0,1.0,88856,0,88856,68280,20576,0,0.1901,0.0,0.1901,0.2369,0.1148,0.0,58603,0,58603,58603,0,0,0.8583,147459,0,147459,126883,20576,0,0.2753,0,9437376,20,2957440,16,12394816,20
0,m,4,467428,0,467428,288238,179190,0,1.0,0.0,1.0,0.6166,0.3834,0.0,70144,0,70144,70144,0,0,1.0,91842,0,91842,70144,21698,0,0.1965,0.0,0.1965,0.2434,0.1211,0.0,61568,0,61568,61568,0,0,0.8777,153410,0,153410,131712,21698,0,0.2854,0,9818240,21,2964992,16,12783232,21
0,t,1,467428,0,467428,288238,179190,0,1.0,0.0,1.0,0.6166,0.3834,0.0,69329,0,69329,69329,0,0,1.0,82711,0,82711,62165,20546,0,0.1769,0.0,0.1769,0.2157,0.1147,0.0,55464,0,55464,55464,0,0,0.8,138175,0,138175,117629,20546,0,0.2574,0,8843200,18,2924544,16,11767744,18
0,t,2,467428,0,467428,288238,179190,0,1.0,0.0,1.0,0.6166,0.3834,0.0,71326,0,71326,71326,0,0,1.0,88933,0,88933,68363,20570,0,0.1903,0.0,0.1903,0.2372,0.1148,0.0,60743,0,60743,60743,0,0,0.8516,149676,0,149676,129106,20570,0,0.2778,0,9579264,20,2964480,16,12543744,20
0,t,4,467428,0,467428,288238,179190,0,1.0,0.0,1.0,0.6166,0.3834,0.0,71839,0,71839,71839,0,0,1.0,91890,0,91890,70167,21723,0,0.1966,0.0,0.1966,0.2434,0.1212,0.0,63030,0,63030,63030,0,0,0.8774,154920,0,154920,133197,21723,0,0.2873,0,9914880,21,2968640,16,12883520,21
0,l,1,467428,0,467428,288238,179190,0,1.0,0.0,1.0,0.6166,0.3834,0.0,0,0,0,0,0,0,0.0,80885,0,80885,61086,19799,0,0.173,0.0,0.173,0.2119,0.1105,0.0,0,0,0,0,0,0,0.0,80885,0,80885,61086,19799,0,0.173,0,5176640,11,2656256,14,7832896,11
0,s,1,467428,0,467428,288238,179190,0,1.0,0.0,1.0,0.6166,0.3834,0.0,288238,0,288238,288238,0,0,1.0,80885,0,80885,61086,19799,0,0.173,0.0,0.173,0.2119,0.1105,0.0,0,0,0,0,0,0,0.0,80885,0,80885,61086,19799,0,0.107,0,5176640,11,2656256,14,7832896,11
