Terms,Threads,Result,Time
100000,1,148.413159,0.001606
100000,2,148.413259,0.000946
100000,4,148.413526,0.000576
100000,8,148.414196,0.000511
100000,16,148.415815,0.000810
100000,32,148.419607,0.000913
250000,1,148.413159,0.003643
250000,2,148.413199,0.001921
250000,4,148.413306,0.001145
250000,8,148.413574,0.000736
250000,16,148.414221,0.000629
250000,32,148.415737,0.001780
500000,1,148.413159,0.007020
500000,2,148.413179,0.003653
500000,4,148.413232,0.001931
500000,8,148.413367,0.001172
500000,16,148.413690,0.000967
500000,32,148.414448,0.000999
750000,1,148.413159,0.010406
750000,2,148.413172,0.005317
750000,4,148.413208,0.002899
750000,8,148.413297,0.001629
750000,16,148.413513,0.001234
750000,32,148.414018,0.001198
