Terms,Threads,Result,Time
100000,1,148.413162,0.001315
100000,2,148.413269,0.000747
100000,4,148.413528,0.000504
100000,8,148.414200,0.000703
100000,16,148.415802,0.000671
100000,32,148.419601,0.000802
250000,1,148.413162,0.002880
250000,2,148.413208,0.001554
250000,4,148.413315,0.000992
250000,8,148.413574,0.000685
250000,16,148.414200,0.000626
250000,32,148.415710,0.001787
500000,1,148.413162,0.005540
500000,2,148.413177,0.002848
500000,4,148.413239,0.001602
500000,8,148.413376,0.000995
500000,16,148.413712,0.000778
500000,32,148.414444,0.000959
750000,1,148.413162,0.008194
750000,2,148.413177,0.004198
750000,4,148.413223,0.002353
750000,8,148.413300,0.001427
750000,16,148.413513,0.000996
750000,32,148.414047,0.001060
